Name,Code Size,Sparsity Weight,Batch Size,Epoch,PSNR
default,100,0.005,32,0,12.6103447254
default,100,0.005,32,0,12.7244904462
default,100,0.005,32,0,12.6158202153
default,100,0.005,32,0,12.5450054829
default,100,0.005,32,0,12.8489004769
default,100,0.005,32,0,12.6326005627
default,100,0.005,32,0,12.4867710332
default,100,0.005,32,0,9.56705805027
default,100,0.005,32,0,12.5177961341
default,100,0.005,32,0,12.4768252687
default,100,0.005,32,0,12.116158668
default,100,0.005,32,0,12.5720710559
default,100,0.005,32,1,8.79302128915
default,100,0.005,32,1,inf
default,100,0.005,32,1,inf
default,100,0.005,32,1,178.233803175
default,100,0.005,32,0,178.233803175
default,100,0.005,32,0,11.1906618094
default,100,0.005,32,0,10.9915134702
default,100,0.005,32,0,10.9795792335
4,1000,0.005,32,0,15.1604269992
3,1000,0.005,10,0,16.2521573952
3,1000,0.005,10,0,15.4146798829
4,1000,0.005,10,0,14.6000489461
1&2,1000,0.005,10,0,13.3937272137
4,1000,0.005,10,0,9.12147133068
3,768,0.005,10,0,15.5077037968
1&2,100,0.005,10,0,13.2121619321
